id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
0,21,Wiraswasta,242912,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,35.0,0
1,49,Wiraswasta,140782,10th,6,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
2,44,Wiraswasta,120057,D3,12,Menikah,Ekesekutif Managerial,Laki2,61404000.0,0.0,45.0,1
3,24,Wiraswasta,194630,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,35.0,0
4,33,Wiraswasta,219619,Master,14,Menikah,Spesialis,Laki2,210336000.0,0.0,40.0,1
5,31,Wiraswasta,331065,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,19712000.0,40.0,0
6,32,Wiraswasta,111520,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,34.0,0
7,20,Wiraswasta,115057,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
8,23,Kelas Lain,191910,Pendidikan Tinggi,10,Belum Pernah Menikah,Pekerjaan Lain,Laki2,0.0,0.0,40.0,0
9,43,Wiraswasta,134120,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,46.0,0
10,31,Wiraswasta,288825,SMA,9,Menikah,Pembersih,Laki2,70182000.0,0.0,40.0,0
11,28,Pemerintah Lokal,304960,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,27720000.0,40.0,0
12,45,Wiraswasta,320192,1st-4th,2,Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
13,44,Pemerintah Lokal,100479,D3,12,Menikah,Spesialis,Laki2,0.0,0.0,48.0,0
